Scenario,Message Size,Mean,Variance,CI Lower Bound,CI Upper Bound
CQ0,256byte,0.00124154378,8.006090629432426e-08,0.0012253056256606154,0.0012577819343393846
CQ1,256byte,0.001246826644,6.453207718102332e-08,0.0012322480971715143,0.0012614051908284856
LQ0,256byte,0.0019036312080000003,8.608863997173635e-05,0.001371156066818586,0.0024361063491814146
LQ1,256byte,0.0016267566699999997,3.06712839313384e-07,0.0015949738526487062,0.0016585394873512933
CQ0,512byte,0.0014430623100000002,1.3666940911391372e-07,0.001421846380073526,0.0014642782399264744
CQ1,512byte,0.001279207242,3.394382417370684e-08,0.0012686340334494934,0.0012897804505505065
LQ0,512byte,0.001640857212,1.6498790897216703e-06,0.0015671427885446962,0.0017145716354553036
LQ1,512byte,0.001667587284,2.4156406221652015e-06,0.0015783918596432723,0.0017567827083567278
CQ0,1Kbyte,0.00132017374,2.5675961510469338e-08,0.001310977934606659,0.0013293695453933411
CQ1,1Kbyte,0.001273663042,3.4187166817575385e-08,0.0012630520015647498,0.0012842740824352502
LQ0,1Kbyte,0.002163929946,8.804686352097618e-05,0.0016254328583926866,0.0027024270336073134
LQ1,1Kbyte,0.001856112008,7.3168771955432714e-06,0.001700877132771751,0.002011346883228249
CQ0,2Kbyte,0.001707928666,1.9643841726698442e-07,0.001682493204194598,0.001733364127805402
CQ1,2Kbyte,0.0014986552900000001,9.767733134708406e-08,0.0014807193845120371,0.0015165911954879631
LQ0,2Kbyte,0.0016995911559999999,1.2048074232754227e-06,0.0016365991801008464,0.0017625831318991533
LQ1,2Kbyte,0.001920699612,6.495122108176603e-06,0.00177444146259173,0.00206695776140827
CQ0,4Kbyte,0.0019038324339999998,1.0391111565328822e-07,0.0018853330435915907,0.001922331824408409
CQ1,4Kbyte,0.001722180844,1.0089487213580327e-07,0.0017039519230729356,0.0017404097649270642
LQ0,4Kbyte,0.0017904872739999999,7.821695483189826e-06,0.001629986598023853,0.0019509879499761467
LQ1,4Kbyte,0.0026237297,2.2298856197546685e-05,0.002352730688126678,0.0028947287118733216
CQ0,8Kbyte,0.002534082892,6.484099261754341e-08,0.0025194694930359605,0.0025486962909640394
CQ1,8Kbyte,0.001828735826,1.1797235574925425e-07,0.0018090244682679865,0.0018484471837320134
LQ0,8Kbyte,0.00198830082,4.54984168544598e-06,0.0018658886613104402,0.0021107129786895598
LQ1,8Kbyte,0.0021705999280000002,1.0878321777241479e-05,0.001981318778651219,0.0023598810773487813
CQ0,16Kbyte,0.0037622632999999997,2.3345337361601805e-07,0.003734534792694266,0.0037899918073057335
CQ1,16Kbyte,0.002024612912,1.0251722705341909e-07,0.0020062380181352746,0.0020429878058647257
LQ0,16Kbyte,0.002394361016,4.131834254976269e-06,0.0022777074928418844,0.002511014539158116
LQ1,16Kbyte,0.0021611862100000003,6.129626500464469e-07,0.0021162554856575537,0.002206116934342447
CQ0,32Kbyte,0.005998814094,1.4204029312402015e-06,0.005930417859308236,0.006067210328691765
CQ1,32Kbyte,0.0026517329,1.1189113823754509e-07,0.002632536302463777,0.0026709294975362226
LQ0,32Kbyte,0.003035201542,1.4188517873679616e-05,0.0028190317873024394,0.0032513712966975605
LQ1,32Kbyte,0.002773280638,2.269125979527538e-06,0.0026868324851667693,0.0028597287908332307
CQ0,64Kbyte,0.009223466386,8.517161920807303e-06,0.009055982177267032,0.00939095059473297
CQ1,64Kbyte,0.003592055792,1.6662832989928332e-07,0.0035686296465925983,0.003615481937407402
LQ0,64Kbyte,0.004698640826,0.00012739772530357438,0.004050891080866343,0.005346390571133656
LQ1,64Kbyte,0.0043522124239999994,1.444379628497025e-05,0.004134106686056383,0.004570318161943616
CQ0,128Kbyte,0.015232693666,3.479607701230169e-05,0.014894168035514516,0.015571219296485484
CQ1,128Kbyte,0.005866163728,2.216359057827916e-07,0.005839146146301409,0.005893181309698591
LQ0,128Kbyte,0.007298616908,1.8854719134831297e-05,0.0070494235585044675,0.007547810257495532
LQ1,128Kbyte,0.0068937244379999995,6.291465232949e-06,0.006749777538676921,0.007037671337323078
CQ0,256Kbyte,0.022672298428,0.00011524676454943646,0.02205621321549928,0.02328838364050072
CQ1,256Kbyte,0.010483452798000002,6.686689443915121e-07,0.010436524803948095,0.010530380792051909
LQ0,256Kbyte,0.011759957304,2.115619897417691e-05,0.011495992979117102,0.012023921628882899
LQ1,256Kbyte,0.011647520545999998,9.052635612161993e-06,0.011474851721009715,0.011820189370990282
CQ0,512Kbyte,0.027215517524,0.00013225834961119056,0.02655552659976316,0.027875508448236844
CQ1,512Kbyte,0.019726933482,1.4381655211596249e-06,0.01965811091769179,0.019795756046308212
LQ0,512Kbyte,0.019892954816,2.4828899496839218e-06,0.01980252635301372,0.019983383278986282
LQ1,512Kbyte,0.023810283676,3.084629855858827e-05,0.0234915500064109,0.0241290173455891
CQ0,1Mbyte,0.035586653726,7.441372096729286e-07,0.035537148286021385,0.03563615916597861
CQ1,1Mbyte,0.036930603508,1.723594181770118e-06,0.036855260331962666,0.03700594668403734
LQ0,1Mbyte,0.03690547465999999,5.288278904528065e-06,0.03677350211561021,0.03703744720438978
LQ1,1Mbyte,0.043419207086,0.000213334466333954,0.04258098919385692,0.04425742497814308
CQ0,2Mbyte,0.06972642467599999,1.8175191461601535e-05,0.06948176301986607,0.0699710863321339
CQ1,2Mbyte,0.086032469744,0.0005681433153243645,0.08466456654710897,0.08740037294089104
LQ0,2Mbyte,0.07369722555199999,3.345896385786569e-05,0.07336526792006717,0.07402918318393281
LQ1,2Mbyte,0.119293450376,0.0011367632646589877,0.11735853743512954,0.12122836331687047
CQ0,4Mbyte,0.140175964366,8.88955404188403e-05,0.13963487823646506,0.14071705049553493
CQ1,4Mbyte,0.182683769214,0.003117392458580854,0.17947955048823708,0.18588798793976294
LQ0,4Mbyte,0.14666383600400001,4.170585694811953e-05,0.14629321934341957,0.14703445266458046
LQ1,4Mbyte,0.234385509484,0.004529654743459801,0.2305230942237591,0.2382479247442409
